,sample_name,round2,sample,ise003,comm,is_inoculumn,passage,media,parent_media,parent_subjects,mesocosm,type_mesocosm,inoculumn
185,C10-e003Coalescence-mGAM-p3,False,C10-e003Coalescence-mGAM-p3,True,C10,False,3,mGAM,mGAM,AE-AE,C10-AE-AE-mGAM-mGAM,AE-AE-mGAM-mGAM,AE-AE-mGAM
189,B9-e003Coalescence-mGAM-p7,False,B9-e003Coalescence-mGAM-p7,True,B9,False,7,mGAM,mGAM,AC/PP-AC/PP,B9-AC/PP-AC/PP-mGAM-mGAM,AC/PP-AC/PP-mGAM-mGAM,AC/PP-AC/PP-mGAM
190,B11-e003Coalescence-mGAM-p7,False,B11-e003Coalescence-mGAM-p7,True,B11,False,7,mGAM,mGAM,AC/PP-AF,B11-AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM
192,B5-e003Coalescence-mBHI-p7,False,B5-e003Coalescence-mBHI-p7,True,B5,False,7,mBHI,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI
193,A3-e003Coalescence-mGAM-p7,False,A3-e003Coalescence-mGAM-p7,True,A3,False,7,mGAM,mBHI,AA-AC/PP,A3-AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI
195,A4-e003Coalescence-mBHI-p5,False,A4-e003Coalescence-mBHI-p5,True,A4,False,5,mBHI,mBHI,AA-AE,A4-AA-AE-mBHI-mBHI,AA-AE-mBHI-mBHI,AA-AE-mBHI
196,B3-e003Coalescence-mBHI-p7,False,B3-e003Coalescence-mBHI-p7,True,B3,False,7,mBHI,mBHI,AC/PP-AC/PP,B3-AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI
198,D10-e003Coalescence-mGAM-p7,False,D10-e003Coalescence-mGAM-p7,True,D10,False,7,mGAM,mGAM,AF-AE,D10-AF-AE-mGAM-mGAM,AF-AE-mGAM-mGAM,AF-AE-mGAM
200,C11-e003Coalescence-mGAM-p3,False,C11-e003Coalescence-mGAM-p3,True,C11,False,3,mGAM,mGAM,AE-AF,C11-AE-AF-mGAM-mGAM,AE-AF-mGAM-mGAM,AE-AF-mGAM
202,A10-e003Coalescence-mBHI-p7,False,A10-e003Coalescence-mBHI-p7,True,A10,False,7,mBHI,mGAM,AA-AE,A10-AA-AE-mGAM-mBHI,AA-AE-mGAM-mBHI,AA-AE-mGAM
203,C10-e003Coalescence-mBHI-p7,False,C10-e003Coalescence-mBHI-p7,True,C10,False,7,mBHI,mGAM,AE-AE,C10-AE-AE-mGAM-mBHI,AE-AE-mGAM-mBHI,AE-AE-mGAM
204,B9-e003Coalescence-mBHI-p5,False,B9-e003Coalescence-mBHI-p5,True,B9,False,5,mBHI,mGAM,AC/PP-AC/PP,B9-AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM
206,B10-e003Coalescence-mBHI-p3,False,B10-e003Coalescence-mBHI-p3,True,B10,False,3,mBHI,mGAM,AC/PP-AE,B10-AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM
207,C11-e003Coalescence-mBHI-p5,False,C11-e003Coalescence-mBHI-p5,True,C11,False,5,mBHI,mGAM,AE-AF,C11-AE-AF-mGAM-mBHI,AE-AF-mGAM-mBHI,AE-AF-mGAM
208,A2-e003Coalescence-mGAM-p7,False,A2-e003Coalescence-mGAM-p7,True,A2,False,7,mGAM,mBHI,AA-AA,A2-AA-AA-mBHI-mGAM,AA-AA-mBHI-mGAM,AA-AA-mBHI
214,D10-e003Coalescence-mGAM-p3,False,D10-e003Coalescence-mGAM-p3,True,D10,False,3,mGAM,mGAM,AF-AE,D10-AF-AE-mGAM-mGAM,AF-AE-mGAM-mGAM,AF-AE-mGAM
215,B10-e003Coalescence-mGAM-p7,False,B10-e003Coalescence-mGAM-p7,True,B10,False,7,mGAM,mGAM,AC/PP-AE,B10-AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM
217,B4-e003Coalescence-mBHI-p7,False,B4-e003Coalescence-mBHI-p7,True,B4,False,7,mBHI,mBHI,AC/PP-AE,B4-AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI
218,A9-e003Coalescence-mBHI-p7,False,A9-e003Coalescence-mBHI-p7,True,A9,False,7,mBHI,mGAM,AA-AC/PP,A9-AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM
