,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
E8-e003Coalescence-mGAM-p7_S149,0.7542500000000001,0.99325
E9-e003Coalescence-mGAM-p7_S150,0.0,0.0
H5-e003Coalescence-mBHI-p7_S136,0.0,0.0
G9-e003Coalescence-mBHI-p5_S30,0.25,0.0
F111-e003Coalescence-mBHI-p7_S116,0.25,0.09375
F5-e003Coalescence-mBHI-p7_S112,0.25,0.0
F4-e003Coalescence-mGAM-p7_S159,0.25,0.0
F111-e003Coalescence-mBHI-p3_S120,0.25,0.0
H3-e003Coalescence-mGAM-p5_S86,0.25,0.0
E4-e003Coalescence-mBHI-p7_S99,0.0,0.0
H4-e003Coalescence-mGAM-p5_S87,0.0,0.0
E100-e003Coalescence-mGAM-p7_S151,0.25,0.0
G9-e003Coalescence-mGAM-p3_S178,0.24175,0.0
H9-e003Coalescence-mBHI-p7_S138,0.0,0.0
H8-e003Coalescence-mGAM-p7_S185,0.31,0.171
G2-e003Coalescence-mGAM-p3_S81,0.25,0.0
F111-e003Coalescence-mBHI-p5_S20,0.0,0.0
F8-e003Coalescence-mBHI-p5_S17,0.25,0.0
G100-e003Coalescence-mBHI-p7_S127,0.25,0.0
E5-e003Coalescence-mGAM-p5_S52,0.0,0.0
