,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
E4-e003Coalescence-mBHI-p5_S3,0.00810372035075439,0.005023590759700457
H2-e003Coalescence-mGAM-p3_S93,0.014987737977656427,0.017231316643698168
E4-e003Coalescence-mGAM-p5_S51,0.01555038229469086,0.00963986334969547
G9-e003Coalescence-mGAM-p7_S174,0.10349999999999998,0.006429595762573944
F2-e003Coalescence-mBHI-p3_S21,0.769,0.519
E8-e003Coalescence-mGAM-p3_S153,0.0012673219050739247,0.0007856276298209966
G111-e003Coalescence-mGAM-p3_S180,0.16350000000000003,0.006429595762573944
G5-e003Coalescence-mGAM-p3_S84,0.20599999999999996,0.008615658321849084
H8-e003Coalescence-mBHI-p5_S41,0.0020363774426163626,0.0019384507822757199
E100-e003Coalescence-mBHI-p5_S7,0.507,0.493
G100-e003Coalescence-mGAM-p7_S175,0.010274359730420747,0.006369195427477365
F9-e003Coalescence-mGAM-p7_S162,0.0162910195409309,0.015507606258205759
E2-e003Coalescence-mBHI-p7_S97,0.9424635855096438,0.9643325056061267
F8-e003Coalescence-mGAM-p7_S161,0.02081630274674504,0.023932384227358567
F3-e003Coalescence-mBHI-p3_S22,0.004199738283967604,0.002603466744078339
G3-e003Coalescence-mBHI-p7_S122,0.0036882316980997552,0.0022863778457611053
G5-e003Coalescence-mGAM-p5_S76,0.1825,0.008615658321849084
G5-e003Coalescence-mGAM-p7_S172,0.067,0.006335042883712562
G4-e003Coalescence-mGAM-p5_S75,0.1695,0.0037544730940919204
G8-e003Coalescence-mBHI-p3_S129,0.2855,0.278
E5-e003Coalescence-mGAM-p3_S60,0.013877535164496692,0.013210183108841943
G2-e003Coalescence-mGAM-p5_S73,0.006768989940041903,0.004196175811043911
E5-e003Coalescence-mGAM-p7_S148,0.0044606363028739365,0.00424613028498491
H9-e003Coalescence-mGAM-p7_S186,0.011020395571806197,0.012670085767425125
E100-e003Coalescence-mGAM-p5_S55,0.1935,0.14900000000000002
E8-e003Coalescence-mGAM-p5_S53,0.9925277383778758,0.997889364551977
H5-e003Coalescence-mGAM-p3_S96,0.017031520429155032,0.0195810416405661
G4-e003Coalescence-mGAM-p3_S83,0.1805,0.006859133537283317
F4-e003Coalescence-mBHI-p7_S111,0.006322682911028152,0.00391950487844761
H3-e003Coalescence-mGAM-p7_S182,0.214,0.011642781516012276
H5-e003Coalescence-mGAM-p5_S88,0.013381908908621811,0.01273839085495473
F4-e003Coalescence-mGAM-p5_S63,0.011986753018824204,0.007430727998723592
