,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
F100-e003Coalescence-mGAM-p7_S163,0.20823458132670497,0.5128059936908518
F9-e003Coalescence-mBHI-p5_S18,0.0008135000776759362,0.9939238101769305
H3-e003Coalescence-mBHI-p7_S134,0.0005984930868416964,0.9891242627897407
E3-e003Coalescence-mGAM-p3_S58,0.3298030138263166,0.24475209161980527
G4-e003Coalescence-mBHI-p5_S27,0.3291123194034488,0.24669983541352355
E8-e003Coalescence-mBHI-p5_S5,0.9727853813888458,0.0007889864216156905
G2-e003Coalescence-mBHI-p3_S33,0.3364182072393973,0.2450908654505555
E9-e003Coalescence-mBHI-p5_S6,0.00044834550256330586,0.9937361130160471
H111-e003Coalescence-mBHI-p3_S144,0.00043925741805188757,0.9961737758880812
G111-e003Coalescence-mGAM-p5_S80,0.23015278856610222,0.46239205870251
G100-e003Coalescence-mGAM-p3_S179,0.3259923100823365,0.24697092305582224
F111-e003Coalescence-mGAM-p5_S68,0.0004050800062140748,0.9779984912906323
G111-e003Coalescence-mBHI-p5_S32,0.0035121951219512213,0.9902125908654504
G5-e003Coalescence-mBHI-p3_S36,0.01937688364144788,0.9380077492799342
H2-e003Coalescence-mGAM-p7_S181,0.00042581948112474765,0.9978565354546702
H9-e003Coalescence-mGAM-p3_S190,8.823986329035264e-05,0.7839440405979975
E3-e003Coalescence-mBHI-p3_S10,0.6168227435140594,0.12883438485804416
H2-e003Coalescence-mGAM-p5_S85,0.0001343793692713997,0.6527932382389247
G8-e003Coalescence-mGAM-p3_S177,0.3724319558800684,0.2254105746811137
F2-e003Coalescence-mGAM-p7_S157,0.3277102687587385,0.24529296392813055
H3-e003Coalescence-mGAM-p3_S94,0.07872331831598571,0.7901888629817583
H4-e003Coalescence-mGAM-p3_S95,0.010277924498990211,0.9110281168563984
E5-e003Coalescence-mBHI-p7_S100,0.012989125368960696,0.9245358661363325
G111-e003Coalescence-mBHI-p3_S132,0.0007534565791517787,0.40081689754491834
F3-e003Coalescence-mGAM-p3_S70,0.32232297654186726,0.2422892607324098
E100-e003Coalescence-mBHI-p7_S103,0.5411339133136553,0.1556811822795227
F9-e003Coalescence-mGAM-p5_S66,0.0007850706851017555,0.9909955424495954
