,comm,comm-media,inoculumn,inoculumn_sample,is_inoculumn,media,mesocosm,parent_media,parent_subjects,passage,sample,type_mesocosm,redo,counts
93,D9,D9-mGAM,AC/PP-AF-mGAM,D3-e003Coalescence-Inoculumn-mGAM,False,mGAM,D9-AC/PP-AF-mGAM-mGAM,mGAM,AC/PP-AF,3,D9-e003Coalescence-mGAM-p3,AC/PP-AF-mGAM-mGAM,False,1
94,D3,D3-mGAM,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,False,mGAM,D3-AC/PP-AF-mBHI-mGAM,mBHI,AC/PP-AF,5,D3-e003Coalescence-mGAM-p5,AC/PP-AF-mBHI-mGAM,False,1
95,C10,C10-mGAM,AE-AE-mGAM,C4-e003Coalescence-Inoculumn-mGAM,False,mGAM,C10-AE-AE-mGAM-mGAM,mGAM,AE-AE,3,C10-e003Coalescence-mGAM-p3,AE-AE-mGAM-mGAM,False,1
96,B9,B9-mGAM,AC/PP-AC/PP-mGAM,B3-e003Coalescence-Inoculumn-mGAM,False,mGAM,B9-AC/PP-AC/PP-mGAM-mGAM,mGAM,AC/PP-AC/PP,7,B9-e003Coalescence-mGAM-p7,AC/PP-AC/PP-mGAM-mGAM,False,1
97,B11,B11-mGAM,AC/PP-AF-mGAM,B5-e003Coalescence-Inoculumn-mGAM,False,mGAM,B11-AC/PP-AF-mGAM-mGAM,mGAM,AC/PP-AF,7,B11-e003Coalescence-mGAM-p7,AC/PP-AF-mGAM-mGAM,False,1
98,B5,B5-mBHI,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,False,mBHI,B5-AC/PP-AF-mBHI-mBHI,mBHI,AC/PP-AF,7,B5-e003Coalescence-mBHI-p7,AC/PP-AF-mBHI-mBHI,False,1
99,A3,A3-mGAM,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,A3-AA-AC/PP-mBHI-mGAM,mBHI,AA-AC/PP,7,A3-e003Coalescence-mGAM-p7,AA-AC/PP-mBHI-mGAM,False,1
100,A4,A4-mBHI,AA-AE-mBHI,A4-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,A4-AA-AE-mBHI-mBHI,mBHI,AA-AE,5,A4-e003Coalescence-mBHI-p5,AA-AE-mBHI-mBHI,False,1
101,B3,B3-mBHI,AC/PP-AC/PP-mBHI,B3-e003Coalescence-Inoculumn-mBHI,False,mBHI,B3-AC/PP-AC/PP-mBHI-mBHI,mBHI,AC/PP-AC/PP,7,B3-e003Coalescence-mBHI-p7,AC/PP-AC/PP-mBHI-mBHI,False,1
102,D10,D10-mGAM,AE-AF-mGAM,D4-e003Coalescence-Inoculumn-mGAM,False,mGAM,D10-AE-AF-mGAM-mGAM,mGAM,AE-AF,7,D10-e003Coalescence-mGAM-p7,AE-AF-mGAM-mGAM,False,1
