,0
E2-e003Coalescence-mGAM-p7_S145,50.0
G5-e003Coalescence-mBHI-p7_S124,272.0
H111-e003Coalescence-mGAM-p7_S188,119.0
H4-e003Coalescence-mGAM-p7_S183,158.0
F5-e003Coalescence-mGAM-p5_S64,76.0
F5-e003Coalescence-mGAM-p7_S160,44.0
F8-e003Coalescence-mBHI-p3_S117,107.0
H3-e003Coalescence-mBHI-p3_S46,135.0
H2-e003Coalescence-mBHI-p7_S133,148.0
E5-e003Coalescence-mBHI-p3_S12,136.0
F100-e003Coalescence-mGAM-p7_S163,65.0
F9-e003Coalescence-mBHI-p5_S18,116.0
H3-e003Coalescence-mBHI-p7_S134,73.0
E3-e003Coalescence-mGAM-p3_S58,57.0
G4-e003Coalescence-mBHI-p5_S27,306.0
E8-e003Coalescence-mBHI-p5_S5,269.0
G2-e003Coalescence-mBHI-p3_S33,239.0
E9-e003Coalescence-mBHI-p5_S6,115.0
H111-e003Coalescence-mBHI-p3_S144,540.0
G111-e003Coalescence-mGAM-p5_S80,39.0
G100-e003Coalescence-mGAM-p3_S179,25.0
F111-e003Coalescence-mGAM-p5_S68,23.0
G111-e003Coalescence-mBHI-p5_S32,271.0
G5-e003Coalescence-mBHI-p3_S36,79.0
H2-e003Coalescence-mGAM-p7_S181,182.0
H9-e003Coalescence-mGAM-p3_S190,14.0
F2-e003Coalescence-mBHI-p7_S109,5.0
E3-e003Coalescence-mBHI-p3_S10,156.0
H2-e003Coalescence-mGAM-p5_S85,10.0
G8-e003Coalescence-mGAM-p3_S177,70.0
F2-e003Coalescence-mGAM-p7_S157,56.0
H3-e003Coalescence-mGAM-p3_S94,33.0
H4-e003Coalescence-mGAM-p3_S95,18.0
E5-e003Coalescence-mBHI-p7_S100,104.0
G111-e003Coalescence-mBHI-p3_S132,6.0
F3-e003Coalescence-mGAM-p3_S70,7.0
E100-e003Coalescence-mBHI-p7_S103,145.0
F9-e003Coalescence-mGAM-p5_S66,60.0
G111-e003Coalescence-mGAM-p7_S176,4.0
H100-e003Coalescence-mGAM-p7_S187,19.0
E100-e003Coalescence-mGAM-p3_S155,65.0
E3-e003Coalescence-mGAM-p5_S50,133.0
F5-e003Coalescence-mGAM-p3_S72,10.0
E9-e003Coalescence-mBHI-p7_S102,127.0
E5-e003Coalescence-mBHI-p5_S4,149.0
F111-e003Coalescence-mGAM-p7_S164,32.0
E111-e003Coalescence-mBHI-p5_S8,128.0
H100-e003Coalescence-mBHI-p5_S43,228.0
F2-e003Coalescence-mGAM-p5_S61,78.0
F5-e003Coalescence-mBHI-p5_S16,80.0
F8-e003Coalescence-mGAM-p5_S65,22.0
H8-e003Coalescence-mBHI-p7_S137,319.0
G9-e003Coalescence-mGAM-p5_S78,29.0
E2-e003Coalescence-mBHI-p5_S1,198.0
E2-e003Coalescence-mBHI-p3_S9,227.0
G8-e003Coalescence-mGAM-p5_S77,100.0
G3-e003Coalescence-mBHI-p3_S34,134.0
G100-e003Coalescence-mBHI-p5_S31,307.0
F9-e003Coalescence-mBHI-p3_S118,28.0
E111-e003Coalescence-mBHI-p3_S108,101.0
G3-e003Coalescence-mBHI-p5_S26,236.0
G5-e003Coalescence-mBHI-p5_S28,232.0
H111-e003Coalescence-mGAM-p5_S92,103.0
G4-e003Coalescence-mBHI-p3_S35,219.0
H9-e003Coalescence-mGAM-p5_S90,42.0
H2-e003Coalescence-mBHI-p3_S45,185.0
E4-e003Coalescence-mBHI-p5_S3,184.0
H2-e003Coalescence-mGAM-p3_S93,40.0
E4-e003Coalescence-mGAM-p5_S51,27.0
G9-e003Coalescence-mGAM-p7_S174,62.0
F2-e003Coalescence-mBHI-p3_S21,85.0
G111-e003Coalescence-mGAM-p3_S180,53.0
G5-e003Coalescence-mGAM-p3_S84,49.0
H8-e003Coalescence-mBHI-p5_S41,239.0
E100-e003Coalescence-mBHI-p5_S7,300.0
G100-e003Coalescence-mGAM-p7_S175,23.0
F9-e003Coalescence-mGAM-p7_S162,27.0
E2-e003Coalescence-mBHI-p7_S97,19.0
F8-e003Coalescence-mGAM-p7_S161,19.0
F3-e003Coalescence-mBHI-p3_S22,191.0
G3-e003Coalescence-mBHI-p7_S122,173.0
G5-e003Coalescence-mGAM-p5_S76,39.0
G5-e003Coalescence-mGAM-p7_S172,90.0
G4-e003Coalescence-mGAM-p5_S75,119.0
G8-e003Coalescence-mBHI-p3_S129,402.0
E5-e003Coalescence-mGAM-p3_S60,19.0
G2-e003Coalescence-mGAM-p5_S73,105.0
E5-e003Coalescence-mGAM-p7_S148,130.0
H9-e003Coalescence-mGAM-p7_S186,68.0
E100-e003Coalescence-mGAM-p5_S55,42.0
E8-e003Coalescence-mGAM-p5_S53,49.0
H5-e003Coalescence-mGAM-p3_S96,34.0
G4-e003Coalescence-mGAM-p3_S83,73.0
F4-e003Coalescence-mBHI-p7_S111,120.0
H3-e003Coalescence-mGAM-p7_S182,43.0
H5-e003Coalescence-mGAM-p5_S88,42.0
F4-e003Coalescence-mGAM-p5_S63,30.0
G4-e003Coalescence-mGAM-p7_S171,59.0
H8-e003Coalescence-mGAM-p5_S89,49.0
F3-e003Coalescence-mBHI-p5_S14,142.0
F100-e003Coalescence-mBHI-p7_S115,179.0
E3-e003Coalescence-mGAM-p7_S146,128.0
F100-e003Coalescence-mGAM-p3_S167,32.0
G4-e003Coalescence-mBHI-p7_S123,182.0
E9-e003Coalescence-mGAM-p3_S154,46.0
F3-e003Coalescence-mGAM-p5_S62,44.0
H4-e003Coalescence-mBHI-p7_S135,163.0
E3-e003Coalescence-mBHI-p5_S2,173.0
G111-e003Coalescence-mBHI-p7_S128,108.0
H3-e003Coalescence-mBHI-p5_S38,106.0
G3-e003Coalescence-mGAM-p3_S82,51.0
F111-e003Coalescence-mGAM-p3_S168,35.0
F3-e003Coalescence-mGAM-p7_S158,33.0
F8-e003Coalescence-mBHI-p7_S113,105.0
G2-e003Coalescence-mBHI-p7_S121,43.0
H4-e003Coalescence-mBHI-p3_S47,129.0
F3-e003Coalescence-mBHI-p7_S110,36.0
F100-e003Coalescence-mGAM-p5_S67,17.0
G8-e003Coalescence-mBHI-p7_S125,177.0
F4-e003Coalescence-mBHI-p5_S15,71.0
H111-e003Coalescence-mBHI-p5_S44,273.0
E111-e003Coalescence-mBHI-p7_S104,158.0
E2-e003Coalescence-mGAM-p3_S57,47.0
F2-e003Coalescence-mBHI-p5_S13,363.0
F4-e003Coalescence-mBHI-p3_S23,111.0
