,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
G3-e003Coalescence-mGAM-p5_S74,0.47619047619047616,0.0
E111-e003Coalescence-mGAM-p5_S56,0.0,0.5
G100-e003Coalescence-mGAM-p5_S79,0.4708994708994709,0.0
H100-e003Coalescence-mGAM-p5_S91,0.0,0.0
G9-e003Coalescence-mBHI-p3_S130,0.10052910052910052,0.5
E4-e003Coalescence-mGAM-p7_S147,0.48677248677248675,0.0
E4-e003Coalescence-mGAM-p3_S59,0.49206349206349204,0.0
H4-e003Coalescence-mBHI-p5_S39,0.0,0.0
F4-e003Coalescence-mGAM-p3_S71,0.46825396825396826,0.0
H100-e003Coalescence-mBHI-p7_S139,0.0,0.0
G8-e003Coalescence-mBHI-p5_S29,0.43386243386243384,0.0
G2-e003Coalescence-mBHI-p5_S25,0.582010582010582,0.5
G8-e003Coalescence-mGAM-p7_S173,0.10582010582010581,0.0
E2-e003Coalescence-mGAM-p5_S49,0.6507936507936508,0.5
H9-e003Coalescence-mBHI-p5_S42,0.0,0.0
H111-e003Coalescence-mGAM-p3_S192,0.0,0.5
F5-e003Coalescence-mBHI-p3_S24,0.0,0.5
E8-e003Coalescence-mBHI-p3_S105,0.6507936507936508,0.0
E8-e003Coalescence-mGAM-p7_S149,0.5264550264550265,0.0
E9-e003Coalescence-mGAM-p7_S150,0.0,0.5
H5-e003Coalescence-mBHI-p7_S136,0.0,0.5
G9-e003Coalescence-mBHI-p5_S30,0.007936507936507936,0.5
F111-e003Coalescence-mBHI-p7_S116,0.0,0.0
F5-e003Coalescence-mBHI-p7_S112,0.0,0.5
F4-e003Coalescence-mGAM-p7_S159,0.6243386243386243,0.0
F111-e003Coalescence-mBHI-p3_S120,0.005291005291005291,0.5
H3-e003Coalescence-mGAM-p5_S86,0.21164021164021163,0.0
E4-e003Coalescence-mBHI-p7_S99,0.6322751322751323,0.5
H4-e003Coalescence-mGAM-p5_S87,0.010582010582010581,0.0
E100-e003Coalescence-mGAM-p7_S151,0.4470899470899471,0.0
G9-e003Coalescence-mGAM-p3_S178,0.0,0.0
H9-e003Coalescence-mBHI-p7_S138,0.0,0.5
H8-e003Coalescence-mGAM-p7_S185,0.0,0.0
G2-e003Coalescence-mGAM-p3_S81,0.47619047619047616,0.0
F111-e003Coalescence-mBHI-p5_S20,0.0,0.5
F8-e003Coalescence-mBHI-p5_S17,0.0,0.5
G100-e003Coalescence-mBHI-p7_S127,0.4656084656084656,0.0
E5-e003Coalescence-mGAM-p5_S52,0.005291005291005291,0.0
